Rep_no,SSN,ISBN,Issue_date,Return_date,Due_Date
1,821000265,9780307950284,2022-11-11,NA,2022-11-30
2,486853974,9780195623598,2022-04-02,2022-04-06,NA
3,615067821,9781539685708,2022-06-22,2022-08-26,NA
4,612708987,9780023606823,2022-04-24,2022-04-29,NA
5,411510676,9781568984483,2022-05-01,2022-05-05,NA
6,500926408,9781781574553,2022-11-10,NA,2022-11-29
7,366681681,9783959721714,2022-10-04,2022-10-08,NA
8,221308554,9780385260954,2022-11-10,NA,2022-11-29
9,342902649,9783050042671,2022-10-13,2022-10-17,NA
10,414532918,9780316120913,2022-07-09,2022-07-14,NA
11,328336328,9788408131939,2022-11-08,2022-08-02,2022-11-27
12,655057666,9780307474278,2022-04-16,2022-04-20,NA
13,965462491,9780199232765,2022-01-30,2022-02-03,NA
14,891559364,9781530051120,2022-09-09,2022-09-14,NA
15,928914452,9783864907531,2022-11-09,NA,2022-11-28
16,821000265,9780545685344,2022-11-10,NA,2022-11-29
17,486853974,9783548746654,2022-11-08,NA,2022-11-27
18,615067821,9788417347000,2022-07-13,2022-10-15,NA
19,612708987,9788416517374,2022-01-01,2022-01-06,NA
20,411510676,9788445007006,2022-05-14,2022-05-20,NA
21,500926408,9788419172105,2022-01-21,2022-01-27,NA
22,366681681,2910025142747,2022-08-08,2022-08-13,NA
23,221308554,9788401027345,2022-10-27,2022-10-31,NA
24,342902649,9788418037757,2022-05-14,2022-05-14,NA
25,414532918,9788418037214,2022-06-08,2022-06-15,NA
26,328336328,9788418051197,2022-11-11,NA,2022-11-30
27,655057666,9788445009420,2022-06-17,2022-06-21,NA
28,965462491,9788445011041,2022-05-15,2022-05-20,NA
29,891559364,9788445011102,2022-10-03,2022-10-09,NA
30,928914452,9788466658911,2022-07-17,2022-07-21,NA
31,821000265,9788418451812,2022-08-24,2022-08-28,NA
32,486853974,9788418037290,2022-01-25,2022-01-30,NA
33,615067821,9788492628902,2022-11-10,NA,02/29/2023
34,612708987,9788494836695,2022-10-31,2022-11-05,NA
35,411510676,9788417517793,2022-06-06,2022-06-08,NA
36,500926408,9788417347932,2022-08-30,2022-09-04,NA
37,366681681,9788418668371,2022-09-05,2022-09-11,NA
38,221308554,9788498890532,2022-10-08,2022-10-15,NA
39,342902649,9788445011164,2022-10-16,2022-10-20,NA
40,414532918,9788445073810,2022-10-01,2022-10-04,NA
41,328336328,9788401346873,2022-06-17,2022-06-20,NA
42,655057666,9788418037276,2022-11-10,NA,2022-11-29
43,965462491,9788427049697,2022-05-13,2022-05-19,NA
44,891559364,9788445006092,2022-05-13,2022-05-17,NA
45,928914452,9788445007037,2022-01-18,2022-01-20,NA
46,821000265,9788445006498,2022-11-11,NA,2022-11-30
47,486853974,9788445005798,2022-05-03,2022-05-07,NA
48,615067821,9788498891355,2022-06-01,2022-09-04,NA
