SSN,First_name,Last_name,Email,Address,Mobile_num,Is_professor,Membership_startdate,Membership_expiredate
821000265,Jhon,smith,jhon234@gmail.com,"2601 West 7th St,Fort Worth, Texas,76107",(817)346-4541,NO,2021-10-11,2023-10-11
486853974,Robert,johnson,robertjohnson@gmail.com,"1718 Cooper Drive,Irving, TX ,75061",(214)914-8822,NO,2021-12-31,2022-12-31
615067821,Richard,williams,richardwilliams43@gmail.com,"6001 Granbury Road,Fort Worth, TX ,76133",(866)435-4510,YES,2021-12-20,2023-12-20
612708987,Matthew,brown,matthew.brown@gmail.com,"5209 Bryant Irvin,Fort Worth, Texas ,76132",(817) 698-0422,NO,2021-10-26,2023-10-26
411510676,Paul,jackson,pauljackson@gmail.com,"2800 Lubbock Ave,Fort Worth, TX ,76109",(972) 919-3919,YES,2021-12-20,2022-12-20
500926408,Kevin,lee,kevinlee@gmail.com,"1800 Rogers Road,Fort Worth, Texas ,76107",(817)735-1223,NO,2021-01-01,2024-01-01
366681681,Brain,white,whitebrain@gmail.com,"1700 Rodgers Road,Fort Worth, TX ,76107",(817)735-1223,NO,2021-08-12,2023-08-12
221308554,George,thompson,george123@gmail.com,"1505 Valwood Pwy Ste 120,Carrollton, TX, 75006",817/923-9700,NO,2021-12-26,2023-12-26
342902649,Steven,williams,mr.williams@gmail.com,"457 NW Charlyne Dr,Burleson, TX ,76028",(817) 698-0422,NO,2021-04-12,2023-04-12
414532918,Jacob,adams,adams.jacob@gmail.com,"457 NW Charlyne Dr,Burleson, TX, 76028",(817)924-2900,NO,2021-12-12,2023-12-12
328336328,Eric,hall,hall1.eric2@gmail.com,"3517 South University Drive,Fort Worth, Texas ,76109",817-479-9501,YES,2021-12-31,2023-12-31
655057666,Larry,smith,larry@gmail.com,"1800 Rogers Road,Fort Worth, TX ,76107",(8170763-8768,NO,2021-04-28,2024-04-28
965462491,Frank,adams,adamsfrank@gmail.com,"2855 West Bowie Street,Fort Worth, Texas ,76109",(817)763-8768,YES,2021-12-31,2024-12-31
891559364,Tyler,williams,tyler12@gmail.com,"2417 Park Hill Dr. Suite C,Fort Worth, Texas, 76110",(817)346-9088,YES,2021-12-31,2024-12-31
928914452,Aaron,white,arronwhite@gmail.com,"4000 Hulen Street,Fort Worth, TX ,76107",(817)927-0311,NO,2021-12-31,2023-12-31
